/Users/MBThornton/Library/Caches/pypoetry/virtualenvs/nmdc-automation-VEpwcKpc-py3.9/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
INFO:root:Using NAPA config: ../../../configs/.local_napa_user_config.toml
INFO:root:Deleting old binning data from nmdc database at mongodb://michael.thornton-napa:barman-reconfirm-leggings-883@localhost:27777
INFO:pymongo.serverSelection:{"message": "Waiting for suitable server to become available", "selector": "Primary()", "operation": "listDatabases", "topologyDescription": "<TopologyDescription id: 66465f9ef50b568cadd8b233, topology_type: Single, servers: [<ServerDescription ('localhost', 27777) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "66465f9ef50b568cadd8b233"}, "remainingTimeMS": 4}
INFO:root:Connected to MongoDB server at mongodb://michael.thornton-napa:barman-reconfirm-leggings-883@localhost:27777
INFO:root:Searching for old binning data records with a known data object type and non-comforming IDs
INFO:root:Found 1999 old binning data records
INFO:root:Deleting binning data record: nmdc:24b82929fba395d6bc6afbcde0b92390 CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321263
INFO:root:Deleting binning data record: nmdc:ac7e0242c1e0b75224f7fd73ebf11a3c CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321264
INFO:root:Deleting binning data record: nmdc:1ef9d1fd6ac193ba741ee855334a83cd CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321265
INFO:root:Deleting binning data record: nmdc:f120056fd8189db8586309306f222a29 CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321266
INFO:root:Deleting binning data record: nmdc:9b4c4af786af3a5750c9a5c01dadf546 CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321267
INFO:root:Deleting binning data record: nmdc:16a3bc2493b58ed90cb4a228bb88f4fc CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321268
INFO:root:Deleting binning data record: nmdc:6d3b961769a2495aef7cb7167e50fac6 CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321269
INFO:root:Deleting binning data record: nmdc:0e4e3187b9847c8088b86c02d7280c39 CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321270
INFO:root:Deleting binning data record: nmdc:010bcf333b9c52cd40f65281d6459205 CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321271
INFO:root:Deleting binning data record: nmdc:1877dde4ac5282eb5dc5fd77b7fbc52a CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321272
INFO:root:Deleting binning data record: nmdc:97154e44fb05acff225d05bc57622dec CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321273
INFO:root:Deleting binning data record: nmdc:185a073889a4b64754b38ea31f0b7a52 CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321274
INFO:root:Deleting binning data record: nmdc:e23d20fc19f5e6b3fcaad0234297ce00 CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321275
INFO:root:Deleting binning data record: nmdc:1c48f447c5535cbe34c3c1985b5bbb9f CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321276
INFO:root:Deleting binning data record: nmdc:628facd4eefc051349922bc28b60dcb1 CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321277
INFO:root:Deleting binning data record: nmdc:b30d6b955ca170c48f3c534708451dac CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321278
INFO:root:Deleting binning data record: nmdc:70cab487cc073d50f28ebdcb65669f4c CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321279
INFO:root:Deleting binning data record: nmdc:5aa505d6e3e1b3cdfac52ce6ef319a6f CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321280
INFO:root:Deleting binning data record: nmdc:38d99e2a4b6a85b08a3150d01a54db15 CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321281
INFO:root:Deleting binning data record: nmdc:37a720712fd041b95f5bb1c91ae4481b CheckM Statistics metabat2 bin checkm quality assessment result for gold:Gp0321282
